UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
1,0,92 13 41.75,14 32 23.43,-92.22826305,14.53984274,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Suchiate,87
4,78002,92 16 16.02,14 35 15.67,-92.27111784,14.58768482,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Suchiate,87
16,78000,92 16 4.79,14 37 56.94,-92.26799642,14.63248267,Chiapas,SURESTE,INFyS_2015,true,false,true,false,false,false,false,false,,1,,Suchiate,87
107,77973,92 31 54.94,14 49 47.15,-92.53192804,14.82976368,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Mazatán,54
140,77964,92 34 29.93,14 52 39.19,-92.5749807,14.87755223,Chiapas,SURESTE,IMyCA,true,false,true,false,true,false,true,false,,1,,Mazatán,54
268,77928,92 42 15.5,15 1 15.15,-92.70430668,15.02087413,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Villa Comaltitlán,71
272,77930,92 36 43.24,15 0 54.08,-92.61201233,15.01502319,Chiapas,SURESTE,IMyCA,true,false,true,false,true,false,true,false,,1,,Huixtla,40
288,77938,92 14 34.48,14 59 27.75,-92.24291129,14.99104218,Chiapas,SURESTE,INFyS_2015,true,false,true,false,false,false,false,false,,1,,Tapachula,89
318,0,92 44 50.9,15 4 7.08,-92.74747291,15.0686341,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Acapetahua,3
380,77897,92 47 26.42,15 6 58.99,-92.79067102,15.11638739,Chiapas,SURESTE,IMyCA,true,false,true,false,true,false,true,false,,1,,Acapetahua,3
382,77898,92 44 40.16,15 6 48.59,-92.7444894,15.11349588,Chiapas,SURESTE,IMyCA,true,false,false,false,true,false,false,false,,1,,Villa Comaltitlán,71
384,77899,92 41 53.92,15 6 38.12,-92.69830977,15.11058911,Chiapas,SURESTE,IMyCA,true,false,true,false,true,false,true,false,,1,,Villa Comaltitlán,71
446,77880,92 50 2.04,15 9 50.88,-92.83389877,15.16413323,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Acapetahua,3
