UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
1,0,14 32 20,-92 13 41,-92.2280556,14.5388889,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Suchiate,7087
4,78002,14 35 12,-92 16 15,-92.2708333,14.5866667,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Suchiate,7087
16,0,14 37 54,-92 16 04,-92.2677778,14.6316667,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,2,1,3,Suchiate,7087
107,77973,14 49 44,-92 31 54,-92.5316667,14.8288889,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Mazatán,7054
140,77964,14 52 36,-92 34 29,-92.5747222,14.8766667,Chiapas,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,3,Mazatán,7054
268,77928,15 01 12,-92 42 15,-92.7041667,15.02,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Villa Comaltitlán,7071
272,77930,15 00 51,-92 36 43,-92.6119444,15.0141667,Chiapas,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,3,Huixtla,7040
288,0,14 59 25,-92 14 34,-92.2427778,14.9902778,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,2,1,3,Tapachula,7089
318,0,15 04 04,-92 44 50,-92.7472222,15.0677778,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Acapetahua,7003
380,77897,15 06 56,-92 47 26,-92.7905556,15.1155556,Chiapas,SURESTE,IMyCA,true,false,true,false,false,false,false,false,2,1,3,Acapetahua,7003
382,77898,15 06 45,-92 44 40,-92.7444444,15.1125,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Villa Comaltitlán,7071
384,77899,15 06 35,-92 41 53,-92.6980556,15.1097222,Chiapas,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,3,Villa Comaltitlán,7071
446,77880,15 09 48,-92 50 01,-92.8336111,15.1633333,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Acapetahua,7003
450,77882,15 09 27,-92 44 29,-92.7413889,15.1575,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Acapetahua,7003
515,77864,15 12 29,-92 49 51,-92.8308333,15.2080556,Chiapas,SURESTE,IMyCA,true,false,true,false,false,false,false,false,2,1,3,Acapetahua,7003
581,77846,15 15 31,-92 55 13,-92.9202778,15.2586111,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Mapastepec,7051
609,77860,15 13 03,-92 16 24,-92.2733333,15.2175,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,3,Motozintla,7057
649,77828,15 18 33,-93 00 35,-93.0097222,15.3091667,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Mapastepec,7051
651,77829,15 18 23,-92 57 49,-92.9636111,15.3063889,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,1,1,3,Mapastepec,7051
683,77845,15 15 33,-92 13 26,-92.2238889,15.2591667,Chiapas,SURESTE,INFYS,true,false,false,false,true,false,false,false,4,1,3,Motozintla,7057
